datetime;hour;min;hourmin;count0;count2;perc0;perc2;dec;lbl
201306131443;14;43;1443;1;0;1;0;2;0
201306111330;13;30;1330;6;3;0.67;0.33;2;0
201307231334;13;34;1334;1;0;1;0;2;0
201307231338;13;38;1338;1;0;1;0;2;0
201309061415;14;15;1415;1;0;1;0;2;0
201309031357;13;57;1357;0;1;0;1;2;0
201307231337;13;37;1337;1;0;1;0;2;0
201307181600;16;00;1600;0;1;0;1;2;0
201308121545;15;45;1545;1;0;1;0;2;0
201308221517;15;17;1517;1;0;1;0;2;0
201307301521;15;21;1521;1;0;1;0;2;0
201307231330;13;30;1330;30;16;0.65;0.35;0;0
201306141830;18;30;1830;1;0;1;0;2;0
201306051613;16;13;1613;0;1;0;1;2;0
201306141834;18;34;1834;1;0;1;0;2;0
201306201342;13;42;1342;0;1;0;1;2;0
201306111346;13;46;1346;1;0;1;0;2;0
201306141838;18;38;1838;1;0;1;0;2;0
201307051703;17;03;1703;1;0;1;0;2;0
201307171922;19;22;1922;1;0;1;0;2;0
201307261330;13;30;1330;3;2;0.6;0.4;2;0
201306131534;15;34;1534;2;0;1;0;2;0
201307231720;17;20;1720;1;0;1;0;2;0
201307251350;13;50;1350;1;0;1;0;2;0
201307231721;17;21;1721;1;0;1;0;2;0
201306131536;15;36;1536;2;0;1;0;2;0
201307051330;13;30;1330;0;2;0;1;2;0
201307191533;15;33;1533;0;1;0;1;2;0
201306141933;19;33;1933;2;0;1;0;2;0
201307191330;13;30;1330;6;2;0.75;0.25;2;0
201308141655;16;55;1655;1;0;1;0;2;0
201306031640;16;40;1640;2;0;1;0;2;0
201306251510;15;10;1510;0;1;0;1;2;0
201307311823;18;23;1823;0;1;0;1;2;0
201308231544;15;44;1544;2;0;1;0;2;0
201306051330;13;30;1330;0;1;0;1;2;0
201306211750;17;50;1750;0;1;0;1;2;0
201306201330;13;30;1330;1;0;1;0;2;0
201307221551;15;51;1551;1;0;1;0;2;0
201307221924;19;24;1924;0;1;0;1;2;0
201307241536;15;36;1536;1;0;1;0;2;0
201308131330;13;30;1330;0;4;0;1;2;0
201308051330;13;30;1330;1;9;0.1;0.9;2;0
201307261717;17;17;1717;1;0;1;0;2;0
201307171937;19;37;1937;1;0;1;0;2;0
201306251514;15;14;1514;0;1;0;1;2;0
201307171424;14;24;1424;1;0;1;0;2;0
201307181720;17;20;1720;0;1;0;1;2;0
201308271330;13;30;1330;2;4;0.33;0.67;2;0
201308021330;13;30;1330;1;1;0.5;0.5;2;0
201307221745;17;45;1745;1;0;1;0;2;0
201307231703;17;03;1703;1;1;0.5;0.5;2;0
201307181814;18;14;1814;1;0;1;0;2;0
201307231700;17;00;1700;1;0;1;0;2;0
201307101828;18;28;1828;1;0;1;0;2;0
201307171946;19;46;1946;1;0;1;0;2;0
201307171809;18;09;1809;1;0;1;0;2;0
201307311817;18;17;1817;1;0;1;0;2;0
201307171942;19;42;1942;0;1;0;1;2;0
201306141410;14;10;1410;1;0;1;0;2;0
201308011903;19;03;1903;1;0;1;0;2;0
201307231840;18;40;1840;0;1;0;1;2;0
201309031330;13;30;1330;1;1;0.5;0.5;2;0
201307171948;19;48;1948;1;0;1;0;2;0
201308011330;13;30;1330;3;0;1;0;2;0
201307261451;14;51;1451;0;1;0;1;2;0
201307231844;18;44;1844;1;0;1;0;2;0
201306051933;19;33;1933;0;1;0;1;2;0
201306131414;14;14;1414;1;0;1;0;2;0
201306121342;13;42;1342;2;0;1;0;2;0
201307101640;16;40;1640;1;0;1;0;2;0
201306141506;15;06;1506;1;0;1;0;2;0
201306141708;17;08;1708;1;0;1;0;2;0
201306141706;17;06;1706;1;0;1;0;2;0
201307151541;15;41;1541;1;0;1;0;2;0
201307021508;15;08;1508;1;0;1;0;2;0
201308091452;14;52;1452;1;0;1;0;2;0
201308201330;13;30;1330;0;3;0;1;2;0
201306141700;17;00;1700;1;0;1;0;2;0
201306061420;14;20;1420;1;0;1;0;2;0
201308011628;16;28;1628;1;0;1;0;2;0
201306051941;19;41;1941;1;0;1;0;2;0
201306281600;16;00;1600;2;0;1;0;2;0
201307161330;13;30;1330;1;1;0.5;0.5;2;0
201306141803;18;03;1803;1;0;1;0;2;0
201307011330;13;30;1330;3;6;0.33;0.67;2;0
201307021910;19;10;1910;1;0;1;0;2;0
201308191434;14;34;1434;1;0;1;0;2;0
201306141800;18;00;1800;1;1;0.5;0.5;2;0
201307171950;19;50;1950;1;0;1;0;2;0
201307171951;19;51;1951;1;0;1;0;2;0
201306261800;18;00;1800;1;0;1;0;2;0
201308081457;14;57;1457;0;1;0;1;2;0
201306121330;13;30;1330;0;1;0;1;2;0
201309061510;15;10;1510;1;0;1;0;2;0
201307181647;16;47;1647;1;0;1;0;2;0
201306121336;13;36;1336;0;1;0;1;2;0
201307241546;15;46;1546;1;0;1;0;2;0
201307221528;15;28;1528;1;0;1;0;2;0
201306171444;14;44;1444;0;3;0;1;2;0
201307221523;15;23;1523;1;0;1;0;2;0
201306261957;19;57;1957;1;0;1;0;2;0
201309031427;14;27;1427;1;0;1;0;2;0
201307231340;13;40;1340;1;0;1;0;2;0
201307181658;16;58;1658;1;0;1;0;2;0
201308191519;15;19;1519;1;0;1;0;2;0
201306241330;13;30;1330;2;3;0.4;0.6;2;0
201306271722;17;22;1722;0;1;0;1;2;0
201307181752;17;52;1752;1;1;0.5;0.5;2;0
201307231349;13;49;1349;2;0;1;0;2;0
201307231342;13;42;1342;0;1;0;1;2;0
201308151611;16;11;1611;1;0;1;0;2;0
201308081330;13;30;1330;3;3;0.5;0.5;2;0
201307231344;13;44;1344;1;0;1;0;2;0
201307231345;13;45;1345;0;1;0;1;2;0
201306131835;18;35;1835;1;0;1;0;2;0
201308081339;13;39;1339;1;0;1;0;2;0
201306201439;14;39;1439;0;1;0;1;2;0
201306201438;14;38;1438;0;1;0;1;2;0
201308271627;16;27;1627;1;0;1;0;2;0
201307231755;17;55;1755;1;0;1;0;2;0
201308071949;19;49;1949;1;0;1;0;2;0
201307241349;13;49;1349;0;1;0;1;2;0
201307111611;16;11;1611;1;0;1;0;2;0
201309031800;18;00;1800;1;0;1;0;2;0
201306251419;14;19;1419;1;0;1;0;2;0
201308081721;17;21;1721;1;0;1;0;2;0
201308081722;17;22;1722;0;1;0;1;2;0
201307221648;16;48;1648;1;0;1;0;2;0
201309031435;14;35;1435;0;1;0;1;2;0
201306271733;17;33;1733;0;1;0;1;2;0
201306131840;18;40;1840;1;0;1;0;2;0
201306131651;16;51;1651;1;0;1;0;2;0
201309041633;16;33;1633;1;0;1;0;2;0
201306271330;13;30;1330;1;4;0.2;0.8;2;0
201308151330;13;30;1330;6;3;0.67;0.33;2;0
201306071350;13;50;1350;2;0;1;0;2;0
201308231330;13;30;1330;3;1;0.75;0.25;2;0
201307171705;17;05;1705;1;0;1;0;2;0
201307251339;13;39;1339;1;0;1;0;2;0
201307231354;13;54;1354;1;0;1;0;2;0
201306181855;18;55;1855;0;2;0;1;2;0
201309031953;19;53;1953;1;0;1;0;2;0
201306261937;19;37;1937;1;0;1;0;2;0
201307251330;13;30;1330;8;1;0.89;0.11;0;0
201306251548;15;48;1548;1;0;1;0;2;0
201308151335;13;35;1335;1;0;1;0;2;0
201307151518;15;18;1518;1;0;1;0;2;0
201306131948;19;48;1948;1;0;1;0;2;0
201307111330;13;30;1330;1;0;1;0;2;0
201307101517;15;17;1517;0;1;0;1;2;0
